Youtuber,Subscribers,Video Views,Category,Title,Uploads,Country,Abbreviation,Channel Type,Video Views Rank,Country Rank,Channel Type Rank,Video Views For The Last 30 Days,Lowest Monthly Earnings,Highest Monthly Earnings,Lowest Yearly Earnings,Highest Yearly Earnings,Subscribers For Last 30 Days,Created Year,Created Month,Created Date,Gross Tertiary Education Enrollment (%),Population,Unemployment Rate,Urban Population,Latitude,Longitude
T-Series,245000000,228000000000,Music,T-Series,20082,India,IN,Music,1,1,1,2258000000,564600.0,9000000.0,6800000.0,108400000.0,2000000,2006,Mar,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
MrBeast,166000000,28368841870,Entertainment,MrBeast,741,United States,US,Entertainment,48,1,1,1348000000,337000.0,5400000.0,4000000.0,64700000.0,8000000,2012,Feb,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Cocomelon - Nursery Rhymes,162000000,164000000000,Education,Cocomelon - Nursery Rhymes,966,United States,US,Education,2,2,1,1975000000,493800.0,7900000.0,5900000.0,94800000.0,1000000,2006,Sep,1.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
SET India,159000000,148000000000,Shows,SET India,116536,India,IN,Entertainment,3,2,2,1824000000,455900.0,7300000.0,5500000.0,87500000.0,1000000,2006,Sep,20.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Kids Diana Show,112000000,93247040539,People & Blogs, Kids Diana Show,1111,United States,US,Entertainment,5,3,3,731674000,182900.0,2900000.0,2200000.0,35100000.0,0,2015,May,12.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
PewDiePie,111000000,29058044447,Gaming,PewDiePie,4716,Japan,JP,Entertainment,44,1,4,39184000,9800.0,156700.0,117600.0,1900000.0,0,2010,Apr,29.0,63.2,126226568,2.29,115782416,36.204824,138.252924
Like Nastya,106000000,90479060027,People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,48947000,12200.0,195800.0,146800.0,2300000.0,100000,2016,Jan,14.0,81.9,144373535,4.59,107683889,61.52401,105.318756
Vlad and Niki,98900000,77180169894,Entertainment,Vlad and Niki,574,United States,US,Entertainment,8,5,6,580574000,145100.0,2300000.0,1700000.0,27900000.0,600000,2018,Apr,23.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Zee Music Company,96700000,57856289381,Music,Zee Music Company,8548,India,IN,Music,12,3,2,803613000,200900.0,3200000.0,2400000.0,38600000.0,1100000,2014,Mar,12.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
WWE,96000000,77428473662,Sports,WWE,70127,United States,US,Sports,7,6,1,714614000,178700.0,2900000.0,2100000.0,34300000.0,600000,2007,May,11.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BLACKPINK,89800000,32144597566,People & Blogs,BLACKPINK,543,South Korea,KR,Music,32,1,3,498930000,124700.0,2000000.0,1500000.0,23900000.0,700000,2016,Jun,29.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Goldmines,86900000,24118230580,Film & Animation,goldmines,1,Unknown,Unknown,Music,4056562,0,5663,18,0.0,0.07,0.05,0.86,0,2006,Aug,15.0,0.0,0,0.0,0,,
Sony SAB,83000000,101000000000,Shows,Sony SAB,71270,India,IN,Entertainment,4,5,7,1657000000,414300.0,6600000.0,5000000.0,79600000.0,1100000,2007,Aug,4.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
5-Minute Crafts,80100000,26236790209,Howto & Style,5-Minute Crafts 2.0,1,United Kingdom,GB,Entertainment,4057901,4797,6781,1,0.0,0.0,0.0,0.05,0,2020,Jul,27.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
BANGTANTV,75600000,20826993957,Music,BANGTANTV,2281,South Korea,KR,Music,112,2,4,168290000,42100.0,673200.0,504900.0,8100000.0,400000,2012,Dec,17.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Justin Bieber,71600000,30608119724,Music,Justin Bieber,249,Canada,CA,Music,38,1,6,176326000,44100.0,705300.0,529000.0,8500000.0,100000,2007,Jan,15.0,68.9,36991981,5.56,30628482,56.130366,-106.346771
HYBE LABELS,71300000,28634566938,Music,HYBE LABELS,1337,South Korea,KR,Music,46,3,5,598173000,149500.0,2400000.0,1800000.0,28700000.0,900000,2008,Jun,4.0,94.3,51709098,4.15,42106719,35.907757,127.766922
Zee TV,70500000,73139054467,Entertainment,Zee TV,129204,India,IN,Entertainment,9,6,8,1707000000,426800.0,6800000.0,5100000.0,81900000.0,900000,2005,Dec,11.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Pinkfong Baby Shark - Kids' Songs & Stories,68200000,38843229963,Education,Pinkfong Baby Shark - Kids' Songs & Stories,2865,United States,US,Education,23,8,2,473387000,118300.0,1900000.0,1400000.0,22700000.0,600000,2011,Dec,14.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Canal KondZilla,66500000,36775585925,Music,Canal KondZilla,2572,Brazil,BR,Music,25,1,7,447223000,0.0,0.0,0.0,0.0,0,2012,Mar,21.0,51.3,212559417,12.08,183241641,-14.235004,-51.92528
ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7,3,420292000,105100.0,1700000.0,1300000.0,20200000.0,500000,2013,Feb,9.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Shemaroo Filmi Gaane,65600000,28648024439,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47,8,8,254961000,63700.0,1000000.0,764900.0,12200000.0,400000,2010,Jun,11.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Colors TV,64600000,61510906457,Shows,Colors TV,112915,India,IN,Entertainment,10,9,9,1188000000,296900.0,4800000.0,3600000.0,57000000.0,1100000,2008,Jun,13.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
T-Series Bhakti Sagar,61000000,29533230328,Music,T- SERIES BHAKTI SAGAR,13,India,IN,Music,4053938,5803,5744,10,0.0,0.04,0.03,0.48,0,2018,Aug,3.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Dude Perfect,59500000,16241549158,Sports,Dude Perfect,389,United States,US,Sports,182,9,3,141200000,35300.0,564800.0,423600.0,6800000.0,100000,2009,Mar,17.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Movieclips,59500000,59316472754,Film & Animation,Movieclips,39113,United States,US,Film,11,9,3,114668000,28700.0,458700.0,344000.0,5500000.0,100000,2006,Apr,28.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Tips Official,59300000,33431802698,Music,Tips Official,4741,India,IN,Music,30,11,10,422634000,105700.0,1700000.0,1300000.0,20300000.0,600000,2007,May,22.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
El Reino Infantil,58400000,57271630846,Music,El Reino Infantil,1510,Argentina,AR,Music,13,1,11,611828000,153000.0,2400000.0,1800000.0,29400000.0,600000,2011,Jun,2.0,90.0,44938712,9.79,41339571,-38.416097,-63.616672
Wave Music,58000000,40602020243,Music,Wave Music,19487,India,IN,Music,21,12,12,232025000,58000.0,928100.0,696100.0,11100000.0,500000,2014,Oct,29.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Aaj Tak,57600000,25307753534,News & Politics,Aaj Tak,283775,India,IN,News,71,13,1,461148000,115300.0,1800000.0,1400000.0,22100000.0,500000,2009,Aug,27.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Sony Music India,57200000,28837144516,Music,Sony Music India,3882,India,IN,Music,45,14,13,259310000,64800.0,1000000.0,777900.0,12400000.0,300000,2009,Sep,2.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
EminemMusic,56900000,27073872856,Music,EminemMusic,156,United States,US,Music,59,10,14,260193000,65000.0,1000000.0,780600.0,12500000.0,300000,2007,Feb,9.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Marshmello,56400000,14696003229,Entertainment,Marshmello,436,United States,US,Music,233,11,15,112100000,28000.0,448400.0,336300.0,5400000.0,100000,2015,Apr,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
YRF,54600000,35302243691,Film & Animation,YRF,3707,India,IN,Music,28,15,16,512093000,128000.0,2000000.0,1500000.0,24600000.0,500000,2006,Jun,7.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
LooLoo Kids - Nursery Rhymes and Children's Songs,54000000,32312431239,Music,LooLoo Kids - Nursery Rhymes and Children's ,11,Unknown,Unknown,Unknown,3800129,0,0,159,0.04,0.64,0.48,8.0,0,2016,Nov,29.0,0.0,0,0.0,0,,
Ed Sheeran,53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,202720000,50700.0,810900.0,608200.0,9700000.0,100000,2006,Aug,8.0,60.0,66834405,3.85,55908316,55.378051,-3.435973
Infobells - Hindi,53300000,30516172739,Education,Infobells - Hindi,577,India,IN,Education,37,16,4,815949000,204000.0,3300000.0,2400000.0,39200000.0,1600000,2014,Jun,6.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Taylor Swift,52900000,29884657286,Music,Taylor Swift,216,United States,US,Music,40,13,19,528392000,132100.0,2100000.0,1600000.0,25400000.0,800000,2006,Sep,20.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Ariana Grande,52700000,24004842608,Music,Ariana Grande,147,United States,US,Music,78,14,20,160216000,40100.0,640900.0,480600.0,7700000.0,100000,2007,Jan,22.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & Cart,847,United States,US,Education,450,15,5,266747000,66700.0,1100000.0,800200.0,12800000.0,600000,2013,Oct,25.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
JuegaGerman,48100000,14631710289,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1,2,66388000,16600.0,265600.0,199200.0,3200000.0,200000,2013,May,19.0,88.5,18952038,7.09,16610135,-35.675147,-71.542969
Billie Eilish,47900000,13626331061,Music,Billie Eilish,65,United States,US,Music,263,16,21,146862000,36700.0,587400.0,440600.0,7000000.0,200000,2013,Feb,6.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
Get Movies,47500000,30788679536,Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600.0,1200000.0,919600.0,14700000.0,700000,2006,Dec,16.0,81.9,144373535,4.59,107683889,61.52401,105.318756
Shemaroo,47400000,22519705183,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17,10,232744000,58200.0,931000.0,698200.0,11200000.0,500000,2007,Sep,1.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
Badabun,46800000,19398045702,Entertainment,badabun,1,Unknown,Unknown,Music,4047729,0,5525,440,0.11,2.0,1.0,21.0,75,2007,Jul,21.0,0.0,0,0.0,0,,
SonyMusicIndiaVEVO,46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States,US,Music,55,17,22,314505000,78600.0,1300000.0,943500.0,15100000.0,400000,2009,Sep,2.0,88.2,328239523,14.7,270663028,37.09024,-95.712891
A4,46300000,22936630813,Gaming,aefour,1,Cuba,CU,People,4053056,99,5359,94,0.02,0.38,0.28,5.0,10,2006,Mar,11.0,41.4,11333483,1.64,8739135,21.521757,-77.781167
Bad Bunny,46100000,30686342319,Music,badbunny,1,Unknown,Unknown,Sports,4046070,0,4501,1,0.0,0.0,0.0,0.05,0,2005,Nov,15.0,0.0,0,0.0,0,,
Fernanfloo,46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1,3,33842000,8500.0,135400.0,101500.0,1600000.0,200000,2011,May,2.0,29.4,6453553,4.11,4694702,13.794185,-88.89653
Voot Kids,45500000,21388725229,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18,13,233988000,58500.0,936000.0,702000.0,11200000.0,400000,2016,Nov,23.0,28.1,1366417754,5.36,471031528,20.593684,78.96288
