Garda Division,Region,Sub Region,,,,,
Cavan/Monaghan Garda Division,Monaghan,Cavan,,,,,
Donegal Garda Division,Donegal,,,,,,
Sligo/Leitrim Garda Division,Leitrim,Sligo,,,,,
Louth Garda Division,Louth,,,,,,
Clare Garda Division,Clare,,,,,,
Mayo Garda Division,Mayo,,,,,,
Galway Garda Division,Galway,,,,,,
Roscommon/Longford Garda Division,Roscommon,Longford,,,,,
Cork City Garda Division,Cork,City,,,,,
Cork North Garda Division,Cork,North,,,,,
Cork West Garda Division,Cork,West,,,,,
Kerry Garda Division,Kerry,,,,,,
Limerick Garda Division,Limerick,,,,,,
Laois/Offaly Garda Division,Laois,Offaly,,,,,
Meath Garda Division,Meath,,,,,,
Wicklow Garda Division,Wicklow,,,,,,
Westmeath Garda Division,Westmeath,,,,,,
Kildare Garda Division,Kildare,,,,,,
Tipperary Garda Division,Tipperary,,,,,,
Wexford Garda Division,Wexford,,,,,,
Kilkenny/Carlow Garda Division,Kilkenny,Carlow,,,,,
Waterford Garda Division,Waterford,,,,,,
D.M.R. South Central Garda Division,Dublin,South Central,,,,,
D.M.R. North Central Garda Division,Dublin,North Central,,,,,
D.M.R. Northern Garda Division,Dublin,North,,,,,
D.M.R. Southern Garda Division,Dublin,South,,,,,
D.M.R. Eastern Garda Division,Dublin,East,,,,,
D.M.R. Western Garda Division,Dublin,West,,,,,
